,video_id,category_1,category_2,rank,task_id
687840,GSyZM6CEIrA,Food and Entertaining,Recipes,169,42930
1004931,GSZX8lSlwOs,Home and Garden,Housekeeping,51,35207
768885,GT6f6XqOX_E,Food and Entertaining,Parties,131,59782
202435,gtmMWmLdu0E,Personal Care and Style,Grooming,179,93760
906824,GtwYT8i5ino,Hobbies and Crafts,Photography,25,2857
632866,GuIeZt5OOUY,Home and Garden,Gardening,47,75502
496267,GukJTehoHP4,Cars & Other Vehicles,Cars,74,71856
374498,GuNchYnwtpc,Hobbies and Crafts,Crafts,26,119470
673305,gvUexubJRkk,Pets and Animals,Fish,3,109216
1143966,gw4Lzmzm_qM,Food and Entertaining,Recipes,78,85796
27674,GWu_R9GL3eE,Food and Entertaining,Barbecue,42,68251
1168546,gxYSsYSFrjQ,Home and Garden,Home Improvements and Repairs,127,17569
40754,GYsQ6eA5vG8,Hobbies and Crafts,Crafts,32,79173
830947,gyxvK2Hi-nQ,Food and Entertaining,Parties,133,98143
378439,gznySsfqpkw,Holidays and Traditions,Saint Patrick's Day,88,21890
1023941,gzQBsRGi0hM,Food and Entertaining,Drinks,35,118776
873222,H-_vvfuI1KU,Home and Garden,Tools,79,13074
743950,h2KVhD5L7-4,Food and Entertaining,Recipes,115,61921
520680,h3I9ksqzeOI,Food and Entertaining,Recipes,36,72460
1031936,H3Wu8784-0w,Food and Entertaining,Recipes,58,28078
193784,H52E7-Vl1XA,Education and Communications,Subjects,164,51169
741931,h5EloI7HDZc,Food and Entertaining,Drinks,141,50310
580405,h5ND6fvhnUk,Food and Entertaining,Recipes,39,86869
802262,H5Xb1iDpSkw,Food and Entertaining,Recipes,7,54458
703727,H9KNIEcVRH4,Food and Entertaining,Recipes,15,94183
421460,HaacybnZHLo,Hobbies and Crafts,Crafts,97,2231
662661,haRgmRKCO0A,Home and Garden,Gardening,93,67090
645583,hBbcRpHNUsQ,Food and Entertaining,Recipes,143,88010
1237679,HbDrMSM2jmI,Home and Garden,Home Improvements and Repairs,128,17563
673750,HBj8df1A9LE,Food and Entertaining,Herbs and Spices,119,74168
975903,HbyozXV4OYw,Food and Entertaining,Drinks,66,98953
1124436,HCgpAYNFEkg,Home and Garden,Gardening,22,121923
116756,HcqjDt0qahM,Health,Injury and Accidents,185,14017
1067593,HcVs6KjgCD8,Food and Entertaining,Recipes,60,122781
1201222,hcVxVA731Hk,Food and Entertaining,Drinks,32,26698
948095,Hdn4c-1Oq28,Food and Entertaining,Recipes,88,78478
304930,HDnAnKOZerI,Food and Entertaining,Recipes,41,62401
3264,hdrvj3xFUi0,Food and Entertaining,Recipes,4,94264
830177,Heup_0UwTSo,Food and Entertaining,Drinks,165,25669
352974,hfbAGoNzMjo,Hobbies and Crafts,Crafts,172,122878
103774,hFLleM-lD0U,Personal Care and Style,Fashion,165,39750
398682,HHbwNpG-6nA,Hobbies and Crafts,Crafts,184,48390
149520,HHvriAB0hdE,Food and Entertaining,Recipes,72,34138
1000966,hJdtBmtvpBY,Food and Entertaining,Recipes,18,118445
788527,hKGGsifl0gQ,Food and Entertaining,Herbs and Spices,79,111707
952956,HKsr2mR1ogY,Food and Entertaining,Holiday Cooking,98,65045
40248,hKtEuNwT8i8,Hobbies and Crafts,Crafts,193,59249
450175,hld4-3ptKAs,Cars & Other Vehicles,Bicycles,166,113116
888046,hMI-ABKzNGs,Food and Entertaining,Recipes,126,114897
90942,hmZu9m7jRio,Food and Entertaining,Barbecue,16,16296
653572,hnvrnuXkyWY,Hobbies and Crafts,Crafts,98,93258
714313,hNW2qs698Xk,Hobbies and Crafts,Games,22,103000
1040156,HNXu5WNlOdU,Food and Entertaining,Food Preparation,71,63415
83934,hoPVK_BlnWY,Holidays and Traditions,Valentines Day,11,45848
625829,Ho_9QuVPfZU,Food and Entertaining,Recipes,80,99263
627580,hPLx_SuwVe0,Sports and Fitness,Outdoor Recreation,75,103871
1060081,hqhPdxckE00,Education and Communications,Writing,87,185
370388,HrcVcL41dlc,Hobbies and Crafts,Crafts,154,46596
1147455,hrJS_nYge0U,Food and Entertaining,Drinks,83,26671
882597,HRlRFkNVhfU,Food and Entertaining,Recipes,167,50358
1080165,HRn_oOkGa-w,Home and Garden,Home Decorating,100,121031
523829,hRup-P2e0_U,Hobbies and Crafts,Games,24,3767
561461,hSudawWUA2w,Cars & Other Vehicles,Cars,122,88405
554126,HSwCP4xE5PI,Education and Communications,Writing,173,130
850257,HSYGeyQO2nQ,Cars & Other Vehicles,Bicycles,99,113119
635548,HtHdPLEO7tM,Home and Garden,Housekeeping,70,79007
247044,HtsPoTKCOgs,Home and Garden,Landscaping and Outdoor Building,29,36979
756572,hU7H53ehLCc,Food and Entertaining,Breakfast,5,105169
642092,hUiOh-5S2bQ,Food and Entertaining,Drinks,57,32730
239804,hUskhcLTG5E,Food and Entertaining,Drinks,37,36682
108790,hUXQ4Ss7SPk,Food and Entertaining,Recipes,165,105268
984357,HUzI7uXUiv4,Food and Entertaining,Food Preparation,55,91089
253571,hvjpH_6E_mU,,,1,12658
203574,HVqeDG7DbKA,Cars & Other Vehicles,Cars,183,97196
346880,Hw2v2DLTGN0,Cars & Other Vehicles,Motorcycles,75,93547
936661,hXSu_maZcag,Food and Entertaining,Drinks,60,26687
881954,HywMLC3l7iI,Cars & Other Vehicles,Cars,136,85431
788641,Hy_Wr0WZC64,Food and Entertaining,Food Preparation,43,88627
411235,HZ5_4uyE-1Q,Personal Care and Style,Grooming,25,45250
231549,Hzh_9iWumeE,Hobbies and Crafts,Crafts,95,23090
264085,h_sst4z7OaA,Food and Entertaining,Food Preparation,16,53490
544380,i-h-ZB0o6_8,Food and Entertaining,Recipes,16,3994
269031,I1-JNG_FkCc,Hobbies and Crafts,Crafts,126,22540
245135,I2glWYAHPMM,Hobbies and Crafts,Crafts,24,113029
558798,I4e81QlkfP8,Sports and Fitness,Outdoor Recreation,39,63035
1037203,i4TnrxpulFY,Hobbies and Crafts,Games,91,56077
178305,I5LzoOS6onk,Food and Entertaining,Recipes,21,109141
809768,i6VePRNqTuM,Food and Entertaining,Drinks,64,72985
752961,I8CoJeOZSuo,Home and Garden,Home Decorating,137,121003
677112,IAmRiMf9fDM,Food and Entertaining,Recipes,7,82219
872859,IAOpuB3MN58,Home and Garden,Housekeeping,168,33637
653635,iATAqZkcx88,Food and Entertaining,Holiday Cooking,4,7637
1067403,IB-CF0xCiDY,Home and Garden,Home Improvements and Repairs,110,35184
625449,iBPItXl0QDM,Food and Entertaining,Recipes,104,15581
514646,ICdXfecdSpM,Home and Garden,Home Improvements and Repairs,170,94689
574285,iChBdLvFrSo,Pets and Animals,Dogs,167,112549
962981,id3jDdBq0E4,Food and Entertaining,Recipes,90,73706
1066507,id3nGXL7xSE,Food and Entertaining,Drinks,139,47886
1200687,IdMHHmyJnWY,Food and Entertaining,Drinks,3,69428
484041,ie6BscQsSmU,Food and Entertaining,Recipes,120,81903
1169063,IeBUgmorcjE,Home and Garden,Landscaping and Outdoor Building,64,48429
318280,ieDOsKCCpn8,Education and Communications,Subjects,97,344
11151,IflLClrlLhw,Food and Entertaining,Recipes,181,108108
1202536,ift-owIwt7Y,Food and Entertaining,Recipes,78,16191
231605,IFVN9OGMmdM,Food and Entertaining,Breakfast,62,91553
532546,IFx7YnMJXCY,Hobbies and Crafts,Crafts,8,80586
585873,ihieO3VdyWQ,Home and Garden,Gardening,108,7578
189804,IhwYDj920d8,Hobbies and Crafts,Crafts,152,39923
274775,IIuLV-IbYQo,Personal Care and Style,Grooming,146,45248
703213,Ij-_cUQFtOY,Home and Garden,Housekeeping,123,16256
680864,iJ6bV2KArh8,Cars & Other Vehicles,Cars,74,95094
687213,ijvn6pQjDts,Food and Entertaining,Recipes,163,103886
729681,iJW5JXJpzg8,Food and Entertaining,Food Preparation,69,91913
241964,IkBE76flhPg,Food and Entertaining,Parties,190,81986
1116699,iKWP2_Vgvzo,Food and Entertaining,Drinks,7,85879
572694,iKyu6DeukdQ,Food and Entertaining,Recipes,2,51654
130381,ILkZobVPOhY,Cars & Other Vehicles,Cars,125,84322
1167525,ilUNLxoxPTI,Food and Entertaining,Recipes,145,92486
759369,ImcQSwQPH94,Hobbies and Crafts,Model Making,142,35151
621217,ImffsCb60h4,Food and Entertaining,Recipes,38,30960
125879,iMm-9aOOI-8,Food and Entertaining,Recipes,49,44292
740571,imu0or39gPE,Food and Entertaining,Recipes,112,15587
1028662,INb2oE2kC3g,Food and Entertaining,Recipes,114,65230
302216,iNXHWUviKCs,Hobbies and Crafts,Crafts,145,42408
730479,IOmEGlY2aes,Food and Entertaining,Recipes,32,101090
1112603,IookYAga9nU,Food and Entertaining,Recipes,160,42837
991268,iOY537Zf-7w,Food and Entertaining,Recipes,68,92745
74620,IPUA5viaWZg,Food and Entertaining,Recipes,38,80050
460767,iQ6_iBcvghI,Home and Garden,Housekeeping,122,110932
979227,IQI_JlGJ4ss,Home and Garden,Housekeeping,11,12621
509740,iQnB3loT6cE,Home and Garden,Gardening,18,38076
696167,IRbA9tRhxUA,Hobbies and Crafts,Photography,119,2883
533750,iRu-QCxG71c,Food and Entertaining,Herbs and Spices,91,74167
683312,Ir_0NrFYl-Q,Food and Entertaining,Recipes,52,99752
110055,IsaqwOm9w4I,Hobbies and Crafts,Digital Technology Art and Craft Projects,99,94126
114439,iscxWl0N_Jk,Hobbies and Crafts,Crafts,94,69718
1107901,IspoiH2nlhA,Cars & Other Vehicles,Cars,172,11139
188832,ISxNOLWUc2I,Food and Entertaining,Recipes,11,105023
304735,Itcpcnxt92E,Food and Entertaining,Recipes,185,56674
143259,Itef2gIDxr0,Hobbies and Crafts,Crafts,8,19969
973097,itelIXRIklo,Food and Entertaining,Recipes,67,92397
330062,IUQqaZrWfwE,Home and Garden,Home Improvements and Repairs,69,69708
1053157,iv-UoaPMqp8,Food and Entertaining,Drinks,67,53194
160606,iV2mni9KDnY,Home and Garden,Home Improvements and Repairs,122,15740
176104,ivcr1NZtOmk,Pets and Animals,Horses,22,106717
924960,Iv_ZxRvmeag,Home and Garden,Home Improvements and Repairs,89,28422
714227,Iwg9C2zi_FE,Food and Entertaining,Recipes,162,30231
224271,iWhROJoqbcM,Hobbies and Crafts,Crafts,25,12866
235219,Iwu7Nyi47Jg,Hobbies and Crafts,Crafts,23,119461
918320,Ix6di-DLnTM,Food and Entertaining,Recipes,118,102668
835839,iY3h0U1Yy-c,Home and Garden,Home Improvements and Repairs,30,15753
160953,iZLl1KD85ZM,Food and Entertaining,Recipes,121,84744
147136,i_ZhtgdcZuY,Food and Entertaining,Parties,37,19732
905134,j-9AvSI3GJM,Food and Entertaining,Recipes,12,48037
739884,j0zBOTz2itA,Arts and Entertainment,Books,68,107853
883611,j1B7cjVVjyM,Home and Garden,Housekeeping,56,28993
158292,j2GQVA8wJWY,Food and Entertaining,Food Preparation,97,91935
781671,j3jYWgaedHU,Food and Entertaining,Recipes,124,54455
248040,j3OdcBwa68E,Food and Entertaining,Cooking for Children,36,35771
842819,J6CBug9MxbY,Food and Entertaining,Recipes,61,94521
395686,J8s34MaOd9A,Food and Entertaining,Breakfast,3,91537
626152,j9S22q5i2Jw,Home and Garden,Gardening,51,36025
820362,jA3e1a9hB-o,Food and Entertaining,Drinks,46,25692
780478,JaReph5QcfA,Food and Entertaining,Recipes,27,120653
849561,Jaxi5RSz_wc,Home and Garden,Housekeeping,119,12627
1069954,jAZcA_Uu6Qw,Hobbies and Crafts,Crafts,110,90425
94404,jb--ep9A104,Hobbies and Crafts,Crafts,175,86058
973329,JbwgBnua44E,Food and Entertaining,Parties,136,20868
503510,jCbWarPoICw,Food and Entertaining,Recipes,68,63402
51949,JCHOyimTP_o,Home and Garden,Gardening,36,47554
577161,jD83QaWy8LI,Hobbies and Crafts,Crafts,77,52728
294702,JdYeVTCxdB4,Holidays and Traditions,Halloween,105,76438
703947,JEn1Fok9FmA,Food and Entertaining,Parties,28,77052
860734,JeZK4e0uIzQ,Food and Entertaining,Drinks,14,48929
424651,Jfs67aIxT_M,Sports and Fitness,Individual Sports,79,74915
714544,jgNF47v5KBs,Home and Garden,Home Improvements and Repairs,72,94252
329023,JgUBKcn-36k,Holidays and Traditions,Halloween,38,78492
107518,jHkXWcGnq94,Hobbies and Crafts,Crafts,56,53136
397318,JHnenDad0BU,Food and Entertaining,Recipes,175,92376
776036,jHsV2zDfntY,Food and Entertaining,Recipes,104,8526
852380,JhUsye2ewNg,Pets and Animals,Dogs,27,92382
57718,JIgSlPya00U,Food and Entertaining,Recipes,124,50965
249596,jIOVX8kYQ4M,Food and Entertaining,Recipes,43,102683
1010026,JiPqPCz6LF4,Home and Garden,Gardening,88,47495
683404,jj6XQfXA0CU,Food and Entertaining,Drinks,171,74321
486489,jj_Q3YvjZWw,Food and Entertaining,Cooking for Children,74,16850
1018567,jkdWrKcbSpY,Food and Entertaining,Herbs and Spices,73,30884
201747,jL9GdBFUS2U,Food and Entertaining,Drinks,110,64981
104788,jLs98rc6iGs,Home and Garden,Home Improvements and Repairs,189,55159
1128833,jMxfIxfXdjM,Food and Entertaining,Recipes,85,44342
831107,jn_10dtMcmU,Home and Garden,Gardening,35,43772
733074,joHvhdRvnkY,Food and Entertaining,Drinks,21,69378
603083,jOSzA-NmXl8,Food and Entertaining,Recipes,57,106645
571895,JO_KQUQuno0,Food and Entertaining,Recipes,15,14134
357306,jpd0SY5PSIo,Food and Entertaining,Recipes,141,68260
944967,jQ-kIEOc5-k,Food and Entertaining,Parties,2,72906
1110137,JQ9dDa9vIDE,Home and Garden,Home Improvements and Repairs,144,42732
387723,JqC5eWh9a-w,Home and Garden,Gardening,4,43761
281536,JQGfae3e07k,Hobbies and Crafts,Crafts,65,86697
686780,jQytTruTUB4,Sports and Fitness,Individual Sports,128,70745
100900,jr8xuT_zERc,Personal Care and Style,Grooming,159,78200
392985,JS46Y0Xerog,Hobbies and Crafts,Tricks and Pranks,91,22918
364328,js4lnP4QKMM,Hobbies and Crafts,Crafts,163,116567
201718,JtG-_G7hj7E,Food and Entertaining,Herbs and Spices,85,111683
860368,jU8MlVxv41Q,Food and Entertaining,Recipes,149,109383
979878,jUacP4u5Dbw,Home and Garden,Landscaping and Outdoor Building,26,13266
105957,JudJjnM5Kd4,Food and Entertaining,Recipes,79,82283
408454,jUncvPnrTUw,Hobbies and Crafts,Crafts,132,78905
461948,juTijc8yd9s,Home and Garden,Home Improvements and Repairs,7,90933
67419,JUvbKz6u-_M,Home and Garden,Home Improvements and Repairs,167,102485
333347,jVHM4s6h3Ms,Home and Garden,Home Improvements and Repairs,22,47397
26602,JWuvAcZTvPs,Food and Entertaining,Recipes,154,94533
908849,jWxWgzmqu6w,Cars & Other Vehicles,Aviation,59,83365
952751,JXd36GEzbp8,Hobbies and Crafts,Model Making,86,101758
857830,jYAqxJUohLQ,Food and Entertaining,Parties,47,120707
406583,JyQmEG9qmfw,Hobbies and Crafts,Crafts,51,111075
893080,jYXNlkhgQ9g,Cars & Other Vehicles,Driving Techniques,94,5549
932115,JZ2fRE_nkak,Food and Entertaining,Recipes,44,23705
158646,JZ7uh62o8BM,Home and Garden,Home Improvements and Repairs,179,93000
922128,JzFpTY1vrO0,Home and Garden,Home Improvements and Repairs,174,13073
476217,k-YRfC1_X_s,Home and Garden,Landscaping and Outdoor Building,32,10959
592872,k1RFFhws-i8,Food and Entertaining,Herbs and Spices,95,44628
736190,k1Xuu2ziCRY,Hobbies and Crafts,Games,81,106160
685531,k2Kk33gOwxM,Home and Garden,Home Improvements and Repairs,38,110387
446759,k2LR3FIwD-s,Food and Entertaining,Recipes,82,73701
596065,K3KEQ6RBNWY,Food and Entertaining,Drinks,1,74321
479606,k5J-cwiNXrM,Cars & Other Vehicles,Bicycles,19,113135
402059,K5wkisHkNWk,Home and Garden,Housekeeping,127,12447
788387,K6iUhAJkIr0,Hobbies and Crafts,Crafts,31,24936
612162,k7DMgEpQHms,Cars & Other Vehicles,Cars,132,98498
823838,k7_ybK-6_N0,Home and Garden,Housekeeping,22,79007
788349,K8_IKUYIBCI,Hobbies and Crafts,Crafts,124,27654
1205980,kca61ayv2mU,Hobbies and Crafts,Tricks and Pranks,34,22927
940543,kD2SUka4iJg,Home and Garden,Housekeeping,52,94111
48099,kd8eZSplah0,Hobbies and Crafts,Crafts,16,10643
633875,kf3ikPNvO30,Home and Garden,Gardening,77,60196
509317,kfjae9FjzuU,Food and Entertaining,Recipes,35,69057
550036,KFjZloZDnMw,Home and Garden,Gardening,14,65720
785547,KFNpJeXjKxQ,Home and Garden,Moving House and Packing,163,66828
1034824,kG3YwGpdYLw,Hobbies and Crafts,Crafts,95,43578
495621,KGe99vrRNxQ,Home and Garden,Gardening,80,76558
753228,KGmf1D-ST8Y,Home and Garden,Moving House and Packing,57,66859
740012,kgPh1s6hjeY,Hobbies and Crafts,Games,98,65662
848044,Kgy6g44pEIo,Home and Garden,Gardening,58,88884
416402,KH0LwZOcWmk,Hobbies and Crafts,Kite Making and Kite Flying,34,57941
206767,KHHlsBtT_EE,Food and Entertaining,Recipes,36,8440
32140,KI-fvRQlzAw,Hobbies and Crafts,Crafts,155,19757
329074,KiHSTFKHRjg,Home and Garden,Home Improvements and Repairs,152,110387
644413,KIQri0xSvZc,Food and Entertaining,Recipes,18,87989
378966,KiruEi1GG0c,Cars & Other Vehicles,Cars,103,74587
1222867,kJolF0TH9lY,Home and Garden,Housekeeping,11,3244
367740,kJySbVCnCmg,Hobbies and Crafts,Crafts,26,86050
1170896,KJzVJxoERXk,Food and Entertaining,Recipes,13,15411
787106,kkelQFlGvsE,Food and Entertaining,Recipes,38,36984
1053146,kKRh1p2XX3k,Food and Entertaining,Drinks,2,16203
423056,kKykDud-WWc,Home and Garden,Home Improvements and Repairs,21,96332
611194,kLaGpczNhEI,Pets and Animals,Birds,112,32673
223966,KLCn3FEx5IQ,Food and Entertaining,Drinks,143,72995
555178,kLKfRtXgo88,Food and Entertaining,Recipes,138,54484
540937,KlRbODqdiNs,Arts and Entertainment,Music,60,43030
1059276,KMBQnUWb1Uc,Home and Garden,Housekeeping,71,82931
843968,KmenCDCqqWs,Food and Entertaining,Recipes,104,58348
412727,kMnjsXNzyh4,Hobbies and Crafts,Crafts,149,16802
1082078,KmouO-iVIjA,Home and Garden,Disaster Preparedness,155,101702
809306,KmUOSgp9PKs,Home and Garden,Home Improvements and Repairs,46,55136
119999,knoplOr5d1M,Hobbies and Crafts,Crafts,193,10632
612773,koP4bqeLflk,Food and Entertaining,Recipes,113,34973
889421,KoQJ5bwqECQ,Home and Garden,Home Improvements and Repairs,135,55130
976392,kpQRn64hgVI,Home and Garden,Gardening,153,121948
1174301,kq2fLUUTgZg,Holidays and Traditions,Halloween,87,59382
342127,Kq9TRVFPZrY,Sports and Fitness,Outdoor Recreation,78,1652
1086737,kQQtMukwrFk,Food and Entertaining,Recipes,127,3961
630175,Ksga_rKLks4,Food and Entertaining,Recipes,114,105766
498120,KSGWzRvZNwU,Food and Entertaining,Recipes,71,72902
700076,KT6mq1440zM,Home and Garden,Home Improvements and Repairs,117,86563
632272,ktBWzmJ0GyQ,Food and Entertaining,Recipes,73,57873
1046110,KTbXKGQurjQ,Home and Garden,Housekeeping,57,116471
412635,KTdz7AbvkxY,Hobbies and Crafts,Crafts,140,113861
203308,KtovqQigzHg,Hobbies and Crafts,Crafts,32,116574
1092924,ktQ2G4285Qo,Food and Entertaining,Recipes,146,41969
59777,KtuBaTDm9DE,Hobbies and Crafts,Toys,124,141
657823,KUUsMLHSr8w,Food and Entertaining,Drinks,41,64805
1210713,kuxckoS_Gro,Food and Entertaining,Recipes,9,16138
703691,KVhLy77EcGk,Food and Entertaining,Recipes,113,94183
1095495,kVkqmvW3Qxk,Food and Entertaining,Recipes,19,105381
1220423,KW8adKrcd_o,Home and Garden,Home Decorating,35,68980
855144,KxQlXUroLHk,Sports and Fitness,Outdoor Recreation,123,92638
1042375,KxYRsobLvnQ,Food and Entertaining,Recipes,16,10840
443408,KYdNwjGM2bQ,Hobbies and Crafts,Crafts,139,64311
1149403,KyESZ1LbNU4,Food and Entertaining,Breakfast,22,91551
614235,kYgx6LePYCo,Food and Entertaining,Drinks,85,16372
67865,KYivuMsON48,Cars & Other Vehicles,Driving Techniques,78,20027
69572,kYTnaZBwCig,Hobbies and Crafts,Crafts,39,44195
908838,kzTc1K1mOT0,Cars & Other Vehicles,Aviation,23,83365
644138,kZTcW09q4PY,Food and Entertaining,Recipes,65,99788
708391,kZww2IlOvRs,Cars & Other Vehicles,Vehicle Sports,98,40722
1231321,KZzpqRhjlSU,Food and Entertaining,Recipes,163,101535
1187235,K_qMT2bIbx4,Hobbies and Crafts,Crafts,111,12896
1047215,l-416OBZCZc,Hobbies and Crafts,Games,11,47169
333530,L1TFnkm1TG8,Hobbies and Crafts,Crafts,7,57833
869267,l433bZyIXx4,Food and Entertaining,Recipes,166,64044
1153742,l4Akr61m134,Hobbies and Crafts,Crafts,146,12887
725766,L5ZhYG_yxsc,Food and Entertaining,Drinks,27,77183
677692,l6MKRiV_g4Y,Home and Garden,Home Improvements and Repairs,19,18263
975904,l6_3MPqcW3Y,Food and Entertaining,Drinks,3,21885
129688,l7P3po6EPu0,Education and Communications,Speaking,17,105
1196123,L8HfKkebCpk,Pets and Animals,Cats,60,9168
754195,L8IU_Uk5gxk,Food and Entertaining,Recipes,148,92355
818125,l8RLQdynSGk,Hobbies and Crafts,Woodworking,9,92125
1082093,l9b0aJmLG9Q,Home and Garden,Disaster Preparedness,65,101702
703106,l9hY2K-5JrM,Food and Entertaining,Recipes,67,63414
352419,L9icusOldww,Home and Garden,Housekeeping,186,12635
307968,l9X3-719Kuc,Home and Garden,Sustainable Living,175,10957
791458,lauGSBdnikc,Education and Communications,Speaking,156,106
162403,laVaN3gJsJY,Holidays and Traditions,Halloween,46,87427
888889,LB-L76p6XT4,Food and Entertaining,Food Preparation,16,91156
605359,lbOKmQOod44,Food and Entertaining,Recipes,31,30747
523206,Lbs_eJwTmY0,Hobbies and Crafts,Crafts,87,113031
494366,lCYg_gz4fDo,Hobbies and Crafts,Crafts,98,111054
1122386,ldDzYKdTy6Q,Food and Entertaining,Food Preparation,134,53434
997647,LdMlbuPquw8,Food and Entertaining,Drinks,90,64828
710098,lDZUjk5e3dc,Home and Garden,Housekeeping,75,89093
1047781,LE8jZuHXy4o,Hobbies and Crafts,Games,33,83880
646256,LehPeiTSmAw,Home and Garden,Housekeeping,62,67191
1136343,lEIrj2QInn0,Home and Garden,Housekeeping,109,101957
185561,LEkohF25s6c,Food and Entertaining,Care and Use of Cooking Equipment,66,13454
1099080,lEv7DCXTJ34,Food and Entertaining,Drinks,80,16424
364092,lfF2RiUkn_w,Home and Garden,Home Improvements and Repairs,84,55163
76731,lfIucOZwmNE,Hobbies and Crafts,Crafts,48,116568
1122629,LFkkJ2Z_n6E,Hobbies and Crafts,Crafts,63,69737
1183959,lfRExaKkU5A,Food and Entertaining,Recipes,113,37742
1126024,lFy_45sLZUg,Hobbies and Crafts,Woodworking,2,57696
1133979,LGGmYvhmYJA,Food and Entertaining,Food Preparation,169,90979
403430,LgRrnst68x8,Food and Entertaining,Recipes,1,8379
616900,LH1cbdFY5Us,Food and Entertaining,Recipes,145,15598
15346,LhIAG6FbaFw,Hobbies and Crafts,Crafts,156,85363
1075317,lHkeOfyO5CI,Food and Entertaining,Food Preparation,76,91096
1223851,lHX1AbnG7Zo,Food and Entertaining,Recipes,95,101005
537414,LI6U2uPJ2IE,Food and Entertaining,Recipes,82,50934
228308,lIk7Znp63JQ,Food and Entertaining,Recipes,11,32077
1091782,LItsXTh1jlc,Food and Entertaining,Recipes,60,5873
307376,ljG-yIzYV-4,Hobbies and Crafts,Sculpting,132,60813
1148286,Ljmo9Nq2IW0,Home and Garden,Landscaping and Outdoor Building,111,65113
134295,LjrNud87MO8,Hobbies and Crafts,Crafts,18,46871
594458,LjTQ0bsq_4w,Food and Entertaining,Drinks,71,64809
22798,lk_KDnbVRuI,Hobbies and Crafts,Crafts,63,65543
673587,lk_mmVCPn-E,Food and Entertaining,Recipes,72,63403
1168832,ll3e5KIEcpo,Food and Entertaining,Parties,97,59238
1166024,LLqs_yhv8vE,Food and Entertaining,Recipes,159,15468
128607,Lm0faxomdrQ,Holidays and Traditions,Halloween,144,8669
387625,lN3S4kitfgE,Hobbies and Crafts,Crafts,183,40209
367868,LnnRSySPtYE,Home and Garden,Landscaping and Outdoor Building,132,68189
336406,lo9NS8f3mo8,Hobbies and Crafts,Crafts,53,7853
1219651,lp89T0B3Ve4,Food and Entertaining,Recipes,131,51041
876869,lpGLcouCAgc,Sports and Fitness,Team Sports,55,73543
375329,lQ6FBA1HM3s,Education and Communications,Subjects,116,119437
1215075,Lq7ThZgVz6s,Home and Garden,Gardening,72,40984
1062186,lqaPS8EUyw0,Hobbies and Crafts,Model Making,168,37462
663399,lQksA_QYJ2Q,Food and Entertaining,Recipes,121,8508
505950,LQLhxb_EyWg,Home and Garden,Gardening,118,76571
355549,lRxWZF1IvT0,Food and Entertaining,Cooking for Children,50,76600
1068088,Lsm1v844z1E,Food and Entertaining,Recipes,4,58864
327776,lsvn4pO3AA4,Health,Alternative Health,145,20310
264171,lSYjE6mhor0,Food and Entertaining,Recipes,18,101086
149306,ls_BoaU0nvU,Hobbies and Crafts,Crafts,6,113214
296919,lT-t6zHPi0k,Work World,Office Skills,191,20906
1090028,Lt1ARWMDyWo,Food and Entertaining,Recipes,82,15454
697141,ltkHknf82S8,Food and Entertaining,Recipes,25,122812
356246,LTqxHHArG_s,Hobbies and Crafts,Crafts,177,90309
880952,ltRI0tZZGSo,Food and Entertaining,Recipes,52,91476
348138,lTYJMke4kd8,Cars & Other Vehicles,Off Road Vehicles,62,13172
386824,luNBFxBDpH4,Holidays and Traditions,Halloween,24,114508
173927,lU_nZgZz64U,Food and Entertaining,Recipes,64,41806
1152218,LvhsCmXF1xU,Food and Entertaining,Recipes,12,98968
655244,lVu6nwYo-UE,Food and Entertaining,Recipes,127,8481
713650,LWoHlU7ALfU,Sports and Fitness,Team Sports,20,47360
1011728,lXDo--7zAos,Home and Garden,Housekeeping,29,101931
925734,lybHdYUyMTw,Food and Entertaining,Recipes,65,51002
661142,LYgny9N9gxo,Home and Garden,Home Improvements and Repairs,107,35241
1118616,lYIGI5bBeqg,Home and Garden,Housekeeping,151,90284
816443,lyYAikrRbNM,Hobbies and Crafts,Crafts,16,111344
1156661,lz-qxGf714E,Pets and Animals,Bugs,114,39830
254851,lZyiXxXPTLI,Hobbies and Crafts,Crafts,23,24928
569262,M-kMPNa7Lo4,Home and Garden,Home Improvements and Repairs,63,48165
206990,M-Ohk-792IQ,Home and Garden,Home Improvements and Repairs,149,111488
124570,M-T0r6Vi-7k,Food and Entertaining,Drinks,18,118814
835970,M018qy9yOho,Food and Entertaining,Recipes,143,41937
1194982,M0WWHvW7E8s,Food and Entertaining,Food Preparation,29,67144
243825,m0xrObqfGqg,Home and Garden,Home Improvements and Repairs,190,36819
328569,M1eCjKgzR28,Food and Entertaining,Food Preparation,115,57863
528232,M1F8jAJ19kI,Food and Entertaining,Recipes,146,86017
1055568,m3zPtKmY2kY,Food and Entertaining,Recipes,117,102688
636277,M7JTV0uJW1I,Cars & Other Vehicles,Aviation,86,17957
673560,M7qg1NVfOS0,Food and Entertaining,Recipes,149,73765
556061,M8BzTL6Jht4,Home and Garden,Home Improvements and Repairs,84,54716
248794,M8Hfz_rCOY0,Home and Garden,Home Improvements and Repairs,86,85447
347540,m8tZC96pMdE,Health,Injury and Accidents,67,89966
314273,m9RP8Hw1Ugo,Food and Entertaining,Recipes,2,85960
547341,M9w1q0H6ROI,Pets and Animals,Dogs,60,3582
205381,m9_PeCvPJQI,Pets and Animals,Dogs,100,92383
